"ID","X (km)","Y (km)","ServiceTime (min)"
1,3.37820725282654,1.60064304247499,20
2,3.64431851310655,2.88610127288848,35
3,6.38755969703197,8.02129008341581,30
4,0.329143274575472,1.64245681837201,35
5,6.9619258842431,7.89792735129595,20
6,8.15564174670726,5.24214969947934,25
7,5.07422853494063,3.20035002660006,30
8,1.12592625897378,2.75177087867633,30
9,9.06323301140219,8.018980382476,25
10,4.13338953163475,1.04024431202561,35
11,4.73755787825212,8.38122266577557,25
12,7.13714180048555,0.792628736235201,25
13,2.41871210513636,7.17564067104831,30
14,2.99640627577901,8.64617826649919,30
15,7.04478821484372,9.7855820809491,35
16,7.71674948045984,2.49126207549125,20
17,0.138403405435383,0.248606903478503,35
18,5.51313953474164,2.2297823196277,35
19,6.52461190475151,1.22025499586016,25
20,9.31660708039999,3.85239424882457,30
21,6.90391705138609,0.843304744921625,30
22,2.53767139045522,2.8258189978078,25
23,4.11038370104507,5.66582458792254,30
24,1.22891113162041,3.28542302362621,25
25,1.3196655572392,9.43474682746455,20
26,6.40118008246645,3.77303513931111,20
27,3.46423432230949,9.53315612394363,20
28,4.22756604617462,2.73252867627889,30
29,9.39408880425617,6.87330156099051,35
30,3.83889230899513,1.36991804465652,20
31,2.28585131000727,8.10210771625862,25
32,6.9027868588455,7.62604692019522,25
33,0.0985791743732989,4.42404833855107,35
34,6.86130894348025,4.56675694556907,35
35,7.91674596024677,6.80455088848248,30
36,5.07493488723412,0.743979089893401,30
37,3.08076248969883,6.46629075054079,25
38,7.37212277250364,7.89914111606777,25
39,3.04715243401006,2.23316506715491,35
40,7.74708701763302,0.409439904615283,20
41,1.12113637849689,3.84648363338783,35
42,7.97743699979037,3.44092153944075,20
43,4.91001167334616,4.46368692209944,35
44,8.32918174797669,3.8683316949755,20
45,7.58423154940829,9.18317915406078,20
46,9.02146560838446,1.74017543438822,30
47,2.78440013062209,1.49870562367141,30
48,4.45692849811167,6.13199228886515,35
49,2.72015735739842,0.17243331996724,25
50,3.29918325645849,0.661104843020439,35
51,8.63600653829053,7.78839041478932,20
52,1.09857953386381,9.35656127054244,20
53,4.02256899746135,2.07204139558598,30
54,4.06075093662366,6.4334315690212,25
55,4.36479254858568,3.31379575189203,20
56,1.77000096300617,9.55421590944752,20
57,2.65730200102553,8.17189157009125,35
58,6.59550013486296,7.40276143187657,30
59,8.16055504838005,2.22705976804718,35
60,4.21184344682842,0.457247165031731,35
61,5,5,0
