1	8.605	1.432	20
2	9.958	9.132	20
3	5.224	5.66	30
4	6.464	8.358	20
5	1	3.125	25
6	0.537	8.824	20
7	1.855	2.107	25
8	3.975	7.864	20
9	7.804	1.183	25
10	0.758	5.274	25
11	7.786	2.949	35
12	1.886	0.312	20
13	7.583	0.597	35
14	6.429	9.909	30
15	7.05	2.509	35
16	8.71	5.539	35
17	8.71	8.195	25
18	1.203	4.877	20
19	3.306	2.215	35
20	9.697	1.043	35
21	9.196	8.213	30
22	0.234	6.039	20
23	0.904	6.29	30
24	7.679	3.44	30
25	7.776	6.545	20
26	9.782	2.667	25
27	3.462	0.159	35
28	7.926	3.054	25
29	7.601	0.278	35
30	9.303	5.684	35
31	4.538	5.564	20
32	2.203	2.642	25
33	3.151	9.6	20
34	0.132	7.821	20
35	5.195	8.278	30
36	0.917	4.773	25
37	6.222	4.547	30
38	6.694	2.409	30
39	4.982	8.982	35
40	2.57	8.825	25
41	4.225	4.462	20
42	8.664	6.363	35
43	1.867	4.961	25
44	4.762	9.892	25
45	8.845	9.37	35
46	7.979	5.284	25
47	5.186	1.172	20
48	5.606	2.849	20
49	6.032	4.421	20
50	5.621	6.998	25
51	9.098	1.936	30
52	8.561	6.886	25
53	9.556	2.933	25
54	2.827	0.77	30
55	9.396	0.519	20
56	6.041	5.258	20
57	3.736	5.482	30
58	5.51	5.759	25
59	7.461	8.367	35
60	5.926	0.851	30
61	9.495	4.653	20
62	0.986	0.883	25
63	0.937	3.831	35
64	2.91	3.958	30
65	0.861	7.303	25
66	3.33	7.751	35
67	5.491	9.114	25
68	2.669	5.705	35
69	2.769	8.384	30
70	3.242	4.688	25
71	9.853	7.881	25
72	8.393	6.937	20
73	8.949	9.212	35
74	7.656	0.323	30
75	0.037	1.613	25
76	5.182	6.4	30
77	0.479	4.748	35
78	5.159	2.91	20
79	8.002	8.269	30
80	4.911	1.882	30
81	5	5	0
