1	9.055	2.005	30
2	7.145	6.419	20
3	5.051	6.722	20
4	8.558	7.999	25
5	1.305	3.574	35
6	3.869	2.443	35
7	8.042	7.051	20
8	5.81	0.056	20
9	6.233	2.094	25
10	3.98	1.539	35
11	6.318	3.14	25
12	9.441	0.52	25
13	6.033	1.56	35
14	9.785	8.042	30
15	6.253	5.474	20
16	9.339	8.918	35
17	3.813	0.45	35
18	7.735	9.493	30
19	6.975	5.682	35
20	9.185	2.494	35
21	1.222	2.488	25
22	8.658	4.525	25
23	8.988	2.392	20
24	4.098	7.774	30
25	3.253	1.546	25
26	9.469	8.103	20
27	5.469	6.298	30
28	4.479	7.346	25
29	9.131	8.421	20
30	5.506	9.477	20
31	1.45	3.798	25
32	9.521	2.594	20
33	5.151	1.583	30
34	9.019	0.967	30
35	7.198	9.019	20
36	3.43	8.507	20
37	7.243	0.9	20
38	8.615	5.796	20
39	3.622	4.851	30
40	3.013	4.923	20
41	1.529	4.159	35
42	2.529	3.295	30
43	7.306	7.563	20
44	1.998	5.82	30
45	1.766	4.811	30
46	4.47	3.331	20
47	4.974	8.175	30
48	2.725	1.498	20
49	5.89	9.147	35
50	9.813	4.639	35
51	5.79	7.286	20
52	0.182	3.825	25
53	5.707	2.18	25
54	3.103	4.661	20
55	6.122	8.168	25
56	1.406	3.656	20
57	5.944	4.482	30
58	5.283	2.467	25
59	7.34	4.758	20
60	1.201	4.517	35
61	0.795	5.137	35
62	2.701	3.18	35
63	7.17	8.384	20
64	3.915	4.199	20
65	9.092	9.861	35
66	4.094	6.372	25
67	3.222	7.225	35
68	7.447	6.109	35
69	4.237	3.253	30
70	7.426	7.6	25
71	0.186	5.511	20
72	0.812	3.491	30
73	0.281	6.08	20
74	7.633	5.452	20
75	9.208	9.006	20
76	4.187	2.151	30
77	7.011	3.388	25
78	0.505	4.428	20
79	7.403	6.471	35
80	6.618	2.178	30
81	8.163	2.895	35
82	1.567	7.002	20
83	4.043	4.441	25
84	1.612	2.678	25
85	9.196	6.877	20
86	8.067	9.63	35
87	8.634	0.31	30
88	4.752	2.814	20
89	2.86	8.326	25
90	1.919	5.422	20
91	5	5	0
