1	6.381	5.626	35
2	5.545	5.793	30
3	7.663	8.247	20
4	0.969	1.984	20
5	7.48	6.19	35
6	8.752	2.246	20
7	0.077	0.252	25
8	9.349	7.565	20
9	4.07	6.382	20
10	7.888	0.579	35
11	9.761	6.738	30
12	3.334	6.915	25
13	7.872	7.452	30
14	0.894	1.241	30
15	0.437	1.512	25
16	5.149	1.774	20
17	0.481	0.089	35
18	0.892	6.338	35
19	6.883	3.728	30
20	0.348	2.777	25
21	4.309	1.725	30
22	7.593	2.037	25
23	8.318	2.219	35
24	3.825	2.534	20
25	6.156	1.701	30
26	3.45	9.217	30
27	5.323	3.453	30
28	2.6	0.851	30
29	5.729	3.778	35
30	9.058	5.433	35
31	5.66	7.87	25
32	0.565	3.203	30
33	1.021	8.38	25
34	3.283	9.985	25
35	9.906	2.134	20
36	7.144	4.373	30
37	0.79	3.787	20
38	6.142	9.656	20
39	4.932	6.411	20
40	2.691	8.061	35
41	2.931	9.191	25
42	4.753	0.586	30
43	9.641	4.776	20
44	4.236	6.969	35
45	8.441	0.447	25
46	9.538	7.569	20
47	2.865	5.917	30
48	5.408	5.101	30
49	5.814	4.526	25
50	2.563	0.255	25
51	8.781	9.618	20
52	8.823	9.876	20
53	9.873	6.344	35
54	1.016	4.255	35
55	6.188	2.666	35
56	7.047	0.806	35
57	1.486	3.301	25
58	8.908	8.941	30
59	1.627	3.067	35
60	1.219	4.024	35
61	9.776	5.738	25
62	6.271	5.97	25
63	0.192	5.7	30
64	8.292	2.181	35
65	9.989	8.201	20
66	8.681	0.367	25
67	3.969	6.256	20
68	9.362	4.335	25
69	3.248	3.569	30
70	9.724	7.737	25
71	5	5	0
