"ID","X (km)","Y (km)","ServiceTime (min)"
1,2.93730155099183,3.06443258887157,20
2,1.9126010988839,5.78353944001719,20
3,8.86450943304226,9.10370304249227,30
4,5.03339485730976,1.42604082124308,20
5,8.77057543024421,4.15047625312582,30
6,1.89193622441962,2.10925750667229,20
7,7.58103052387014,4.28750370861962,25
8,7.24498892668635,1.32689975202084,25
9,9.43724818294868,4.60096445865929,25
10,5.47646587016061,9.42957059247419,35
11,7.11743867723271,7.61973861604929,30
12,3.88905099825934,9.32909828843549,20
13,1.00873126182705,4.70678497571498,30
14,9.27302088588476,6.03588067693636,20
15,2.83232500310987,4.84989680582657,20
16,5.9057315881364,1.0880631650798,20
17,1.10360604943708,2.47726832982153,30
18,8.40507032116875,4.98514530714601,20
19,3.17963684443384,3.72866708086804,30
20,7.82851336989552,9.34691370232031,25
21,2.67508207354695,5.23986077867448,20
22,2.18645284883678,3.17144671687856,35
23,5.16796836396679,2.77966029476374,35
24,2.68950592027977,7.87540507735685,30
25,1.81168327340856,7.02462512534112,30
26,5.18576137488708,1.65027638664469,35
27,5.62782935798168,0.644575387705117,35
28,1.29156854469329,7.54705621628091,25
29,2.56367604015395,6.20410033036023,35
30,7.17935275984928,1.69576766667888,20
31,9.61409936426207,0.622140523046255,30
32,1.00140846567228,1.09029268613085,25
33,7.63222689507529,3.81716351723298,35
34,9.47966354666278,1.69310914585367,35
35,8.18634688388556,2.98652542056516,20
36,3.08292330708355,1.92209535045549,35
37,6.49579460499808,2.57170021301135,25
38,9.53355451114476,1.81231822818518,30
39,9.53732650028542,4.77313709678128,35
40,3.39979203417897,7.70737042883411,20
41,2.62474110117182,0.277871224097908,35
42,1.65453933179379,5.27310776989907,35
43,3.22168056620285,8.80319068906829,25
44,5.10125206550583,3.73063371982425,25
45,9.23968471353874,0.479591316543519,25
46,5.10959698352963,1.38628246728331,20
47,2.57621260825545,3.21492120390758,20
48,0.464608869515359,1.54831611318514,35
49,4.1785625834018,1.32228172151372,35
50,8.54001502273604,2.21305927727371,20
51,3.47230677725747,2.26380796171725,20
52,1.31442320533097,1.3141653384082,25
53,3.74486864544451,9.81563460314646,20
54,6.31420228397474,3.27013726811856,35
55,3.90078933676705,5.06939497077838,20
56,6.89627848798409,6.8144251476042,35
57,6.89413412474096,0.991691031958908,30
58,5.54900623159483,1.18902558228001,25
59,4.29624407785013,0.504396595060825,30
60,4.52720062807202,9.29253919748589,20
61,5,5,0
