"ID","X (km)","Y (km)","ServiceTime (min)"
1,3.97843627491966,8.14251750474796,30
2,9.55675768665969,9.28777225781232,35
3,6.53349443105981,1.47481045220047,25
4,3.28743716701865,7.49821664998308,25
5,1.97146713500842,9.75657349685207,20
6,1.15342324832454,9.74792463472113,30
7,9.95965478708968,3.50625570164993,25
8,3.79276725230739,3.93949056975543,30
9,5.61988092726097,9.50951009057462,20
10,7.32718017650768,1.06648319633678,25
11,8.70805552927777,9.34760116506368,25
12,5.72170259663835,3.46162099856883,30
13,0.110360709950328,5.3306060587056,20
14,9.06315261265263,5.38794299354777,35
15,7.70653631538153,7.14717949740589,35
16,3.82504623383284,4.05790500110015,35
17,0.940458888653666,1.52788141276687,35
18,0.496535839047283,3.40232761343941,25
19,8.21162318112329,6.2665484752506,20
20,8.29324304359034,0.573726783040911,20
21,6.54732875758782,8.51667639799416,25
22,1.32827813038602,2.12645345833153,30
23,3.41809901176021,5.39462027838454,35
24,7.31371578993276,1.36487586190924,25
25,9.07291416078806,3.24865140486509,20
26,6.96196999400854,6.21076293755323,30
27,2.41579222260043,2.55982248578221,35
28,6.44107228610665,6.34875798830763,20
29,2.80750213656574,4.85672106966376,30
30,9.57636520732194,9.38176916679367,25
31,1.58395956736058,8.57501537073404,30
32,4.18338991701603,3.70883537689224,35
33,2.52009797375649,3.14201829954982,30
34,0.943902677390724,8.28534359810874,20
35,8.27717769658193,4.51841513160616,25
36,5.25305503746495,3.15878412220627,30
37,6.67747627478093,0.978085375390947,30
38,4.08277759794146,0.649005365557969,35
39,8.42589903390035,6.89457366475835,35
40,7.37305467948318,6.68050603941083,35
41,3.48224401008338,9.0454664779827,35
42,9.48938177432865,3.01693270448595,35
43,6.46679189987481,9.32808704674244,25
44,0.3527776687406,2.01983017381281,35
45,5.96448455704376,7.92378755984828,20
46,4.15318001527339,2.24630508804694,20
47,0.768970381468534,0.307565710972995,30
48,5.2804887923412,8.62034041201696,20
49,9.62333308532834,6.85107505181804,25
50,7.08740051137283,9.42074909573421,20
51,5.53475703578442,6.75853760447353,20
52,2.42956608999521,8.43120148405433,30
53,7.78042529011145,3.61894184956327,30
54,6.51940943440422,3.92365885199979,25
55,8.30245703924447,5.67687397589907,35
56,6.48550947429612,0.951521336100996,35
57,4.79835794307292,1.93784071598202,30
58,4.95064105605707,5.88066393043846,25
59,3.79872591467574,7.51504168147221,35
60,4.50485437177122,8.67238787235692,35
61,5,5,0
