"ID","X (km)","Y (km)","ServiceTime (min)"
1,6.28540931269526,5.99506254540756,25
2,8.45313196536154,8.90618327539414,25
3,1.22283626580611,3.88700943207368,35
4,5.55707331513986,0.981341134756804,25
5,7.76425802847371,8.07211842387915,35
6,2.59379373397678,1.18084280984476,25
7,4.98980368953198,7.64265555189922,35
8,5.8441674686037,1.26254325965419,35
9,4.84753041295335,8.54531788034365,20
10,6.08539856038988,5.36768707213923,20
11,0.208632645662874,5.96191750140861,30
12,3.8279984309338,8.63054233137518,25
13,3.81619910942391,8.67438183631748,35
14,0.674072960391641,0.590932832565159,30
15,2.89226401364431,4.69489691546187,25
16,7.64742906205356,3.42481704195961,35
17,8.01584762288257,8.24570669326931,25
18,2.04031246481463,5.29290451202542,20
19,9.17860072338954,4.37235599849373,20
20,1.02161068003625,0.564257903024554,30
21,8.90884600812569,2.47774575836957,20
22,5.13431229395792,3.9808634808287,20
23,1.32781761698425,1.11213281052187,30
24,3.37982318364084,4.21622570138425,20
25,2.13000355288386,2.3918923176825,35
26,8.2870218413882,8.50532291689888,20
27,4.64334379183128,2.27025169879198,20
28,3.3625348075293,7.47712324839085,20
29,1.44650358706713,7.17718615429476,25
30,8.68071043165401,0.951648713089526,30
31,0.543226287700236,4.7922472585924,30
32,6.13883084617555,1.27142050070688,35
33,7.85630304832011,2.64237005030736,20
34,5.79446654533967,2.27041788864881,20
35,5.27169481385499,1.84503210475668,20
36,4.10513413604349,0.172559637576342,20
37,7.30523158563301,9.34820265276358,30
38,8.83600060595199,1.21039894642308,20
39,1.14475055364892,4.06425643712282,35
40,3.24147744104266,7.89167857030407,35
41,3.66757013369352,1.05868488550186,30
42,2.53948567667976,3.41594616649672,35
43,1.20749427936971,3.33594424650073,35
44,5.82967506255955,7.74401936912909,35
45,2.034348747693,5.37167157977819,25
46,5.79752318561077,7.87171488394961,20
47,5.90647940291092,7.97589224996045,35
48,9.77186663541943,2.23905894672498,30
49,2.07538184709847,4.66157538117841,20
50,2.42746019270271,3.2234396552667,20
51,1.60246446263045,5.44530030107126,25
52,7.89168701507151,9.71569425193593,20
53,0.957476415205747,1.49301019264385,20
54,4.56290248548612,3.63682809751481,20
55,0.757544871885329,7.87106834352016,20
56,9.37549793161452,5.86609131889418,25
57,1.94110536715016,5.39789478061721,25
58,7.1457881340757,8.73886008979753,30
59,9.5579069154337,7.69426584709436,25
60,7.41858070949093,4.50837499694899,35
61,2.56030270131305,9.39054067479447,20
62,6.12532270140946,5.58589052874595,35
63,1.32818012498319,5.7100012502633,35
64,1.8019323493354,1.07309120241553,30
65,0.799355178605765,3.88762210728601,25
66,2.71181135671213,9.77478005457669,20
67,4.40128399757668,2.21451952122152,35
68,7.11458232719451,2.20063263550401,20
69,3.46787970978767,2.82170991180465,25
70,1.50468136416748,1.19221175322309,30
71,5,5,0
